10
f0 o42 71 d5 

c0 -18 70 35 69
c0 -29 43 16 23
f1 o43 67 d4 

c1 -26 66 29 61
c1 -39 33 23 15
c1 -3 24 16 22
f2 o45 64 d5 

c2 -32 63 27 38
c2 -41 34 36 20
c2 -17 17 30 18
f3 o33 67 d2 

c3 4 66 27 40
c3 -8 29 26 33
c3 23 38 34 17
h3 55 44 39 24 0 20.0 0 1.0 2.0 0 1
f4 o29 66 d2 

c4 11 61 31 40
c4 -7 25 29 29
c4 31 36 29 18
h4 62 44 39 24 0 20.0 0 1.0 2.0 0 1
f5 o28 63 d2 

c5 12 59 31 40
c5 -7 25 29 29
c5 31 33 29 17
h5 64 39 39 22 0 10.0 0 1.0 2.0 0 1
f6 o29 63 d6 

c6 12 59 30 40
c6 -7 25 29 29
c6 29 31 29 17
f7 o37 68 d7 

c7 -1 65 28 53
c7 -7 28 23 29
f8 o42 71 d6 

c8 -10 70 31 55
c8 -11 20 29 19
c8 -20 49 16 22
f9 o43 71 d7 

c9 -17 69 32 69

l 0 l -1
l 3 a fair_landing -1
l 7 l -1
