19
f0 o35 72 d3 
c0 -18 72 39 72
f1 o35 72 d3 
c1 -18 72 38 72
c1 -2 45 40 12
f2 o35 72 d3 
c2 -19 72 38 72
c2 -4 45 40 12
f3 o35 72 d5 
c3 -19 72 38 72
f4 o35 72 d5 
c4 -19 72 38 72
f5 o35 72 d1 
c5 -21 72 40 72
f6 o35 72 d2 
c6 -12 72 38 72
f7 o35 72 d3 
c7 3 72 38 72
c7 -9 20 18 21
f8 o35 72 d5 
c8 3 72 38 72
c8 -9 20 18 21
f9 o35 72 d4 
c9 -9 20 18 21
c9 -1 72 38 72
f10 o35 72 d4 
c10 -2 72 32 72
c10 -15 38 18 39
f11 o35 72 d5 
c11 -18 72 38 72
f12 o35 72 d2 
c12 6 60 32 61
c12 -8 32 14 33
c12 29 50 28 19
f13 o35 72 d2 
c13 -2 67 30 68
c13 -10 21 12 23
c13 18 61 27 30
f14 o35 72 d3 
c14 -31 71 41 40
c14 -14 34 26 35
c14 7 16 19 17
f15 o35 72 d10 
c15 -31 71 41 40
c15 -14 34 26 35
c15 7 16 19 17
f16 o35 72 d7 
c16 -29 69 41 40
c16 -14 34 26 35
c16 7 16 19 17
f17 o35 72 d7 
c17 -27 74 42 75
f18 o35 72 d6 
c18 -18 72 34 74
